theta,n_BE_pred,n_obs,D_pred,D_obs,gbar_log,gobs_log
2.514255,0.088048,0.412538,1.088048,1.412538,-9.1200,-8.9700
2.457024,0.093720,0.445440,1.093720,1.445440,-9.1400,-8.9800
2.428899,0.096652,0.412538,1.096652,1.412538,-9.1500,-9.0000
2.401095,0.099649,0.412538,1.099649,1.412538,-9.1600,-9.0100
2.319580,0.109035,0.412538,1.109035,1.412538,-9.1900,-9.0400
2.215182,0.122503,0.412538,1.122503,1.412538,-9.2300,-9.0800
2.043663,0.148835,0.479108,1.148835,1.479108,-9.3000,-9.1300
2.020270,0.152897,0.479108,1.152897,1.479108,-9.3100,-9.1400
1.974283,0.161253,0.479108,1.161253,1.479108,-9.3300,-9.1600
1.951683,0.165548,0.479108,1.165548,1.479108,-9.3400,-9.1700
1.929343,0.169924,0.513561,1.169924,1.513561,-9.3500,-9.1700
1.885426,0.178918,0.479108,1.178918,1.479108,-9.3700,-9.2000
1.863843,0.183538,0.513561,1.183538,1.513561,-9.3800,-9.2000
1.842508,0.188241,0.513561,1.188241,1.513561,-9.3900,-9.2100
1.800567,0.197899,0.513561,1.197899,1.513561,-9.4100,-9.2300
1.739440,0.213031,0.513561,1.213031,1.513561,-9.4400,-9.2600
1.719528,0.218250,0.548817,1.218250,1.548817,-9.4500,-9.2600
1.719528,0.218250,0.513561,1.218250,1.513561,-9.4500,-9.2700
1.699845,0.223559,0.513561,1.223559,1.513561,-9.4600,-9.2800
1.680387,0.228957,0.548817,1.228957,1.548817,-9.4700,-9.2800
1.642137,0.240027,0.548817,1.240027,1.548817,-9.4900,-9.3000
1.623340,0.245701,0.584893,1.245701,1.584893,-9.5000,-9.3000
1.604757,0.251468,0.584893,1.251468,1.584893,-9.5100,-9.3100
1.586388,0.257330,0.584893,1.257330,1.584893,-9.5200,-9.3200
1.568229,0.263287,0.584893,1.263287,1.584893,-9.5300,-9.3300
1.550277,0.269340,0.584893,1.269340,1.584893,-9.5400,-9.3400
1.532531,0.275491,0.584893,1.275491,1.584893,-9.5500,-9.3500
1.514989,0.281740,0.584893,1.281740,1.584893,-9.5600,-9.3600
1.514989,0.281740,0.584893,1.281740,1.584893,-9.5600,-9.3600
1.497647,0.288089,0.584893,1.288089,1.584893,-9.5700,-9.3700
1.480503,0.294537,0.621810,1.294537,1.621810,-9.5800,-9.3700
1.480503,0.294537,0.584893,1.294537,1.584893,-9.5800,-9.3800
1.463556,0.301087,0.621810,1.301087,1.621810,-9.5900,-9.3800
1.446803,0.307739,0.621810,1.307739,1.621810,-9.6000,-9.3900
1.397685,0.328318,0.659587,1.328318,1.659587,-9.6300,-9.4100
1.381686,0.335389,0.659587,1.335389,1.659587,-9.6400,-9.4200
1.365870,0.342568,0.698244,1.342568,1.698244,-9.6500,-9.4200
1.304396,0.372375,0.778279,1.372375,1.778279,-9.6900,-9.4400
1.149236,0.463869,1.089296,1.463869,2.089296,-9.8000,-9.4800
