theta,n_BE_pred,n_obs,D_pred,D_obs,gbar_log,gobs_log
0.376192,2.189494,2.311311,3.189494,3.311311,-10.7700,-10.2500
0.339164,2.476638,3.365158,3.476638,4.365158,-10.8600,-10.2200
0.339164,2.476638,3.466836,3.476638,4.466836,-10.8600,-10.2100
0.316526,2.685631,3.786301,3.685631,4.786301,-10.9200,-10.2400
0.278875,3.109047,4.370318,4.109047,5.370318,-11.0300,-10.3000
0.242890,3.637313,5.025596,4.637313,6.025596,-11.1500,-10.3700
0.218982,4.084809,5.918310,5.084809,6.918310,-11.2400,-10.4000
0.204366,4.410192,6.079458,5.410192,7.079458,-11.3000,-10.4500
0.195168,4.640035,6.413102,5.640035,7.413102,-11.3400,-10.4700
0.184251,4.942730,6.943282,5.942730,7.943282,-11.3900,-10.4900
0.211548,4.244671,4.011872,5.244671,5.011872,-11.2700,-10.5700
0.211548,4.244671,4.128614,5.244671,5.128614,-11.2700,-10.5600
0.209127,4.299206,4.248075,5.299206,5.248075,-11.2800,-10.5600
0.218982,4.084809,3.570882,5.084809,4.570882,-11.2400,-10.5800
0.221518,4.032747,3.897788,5.032747,4.897788,-11.2300,-10.5400
0.224083,3.981285,4.128614,4.981285,5.128614,-11.2200,-10.5100
0.226678,3.930418,4.248075,4.930418,5.248075,-11.2100,-10.4900
0.231958,3.830438,4.011872,4.830438,5.011872,-11.1900,-10.4900
0.231958,3.830438,3.897788,4.830438,4.897788,-11.1900,-10.5000
0.229303,3.880137,3.786301,4.880137,4.786301,-11.2000,-10.5200
0.226678,3.930418,3.897788,4.930418,4.897788,-11.2100,-10.5200
0.221518,4.032747,3.897788,5.032747,4.897788,-11.2300,-10.5400
0.213998,4.190764,4.011872,5.190764,5.011872,-11.2600,-10.5600
0.213998,4.190764,4.011872,5.190764,5.011872,-11.2600,-10.5600
0.213998,4.190764,3.897788,5.190764,4.897788,-11.2600,-10.5700
0.213998,4.190764,3.786301,5.190764,4.786301,-11.2600,-10.5800
0.216476,4.137479,3.570882,5.137479,4.570882,-11.2500,-10.5900
0.218982,4.084809,3.466836,5.084809,4.466836,-11.2400,-10.5900
0.221518,4.032747,3.073803,5.032747,4.073803,-11.2300,-10.6200
0.224083,3.981285,2.890451,4.981285,3.890451,-11.2200,-10.6300
0.226678,3.930418,2.715352,4.930418,3.715352,-11.2100,-10.6400
0.229303,3.880137,2.630781,4.880137,3.630781,-11.2000,-10.6400
0.231958,3.830438,2.467369,4.830438,3.467369,-11.1900,-10.6500
0.231958,3.830438,2.388442,4.830438,3.388442,-11.1900,-10.6600
0.226678,3.930418,2.548134,4.930418,3.548134,-11.2100,-10.6600
0.221518,4.032747,2.715352,5.032747,3.715352,-11.2300,-10.6600
0.479081,1.627099,3.365158,2.627099,4.365158,-10.5600,-9.9200
0.426982,1.877494,5.025596,2.877494,6.025596,-10.6600,-9.8800
0.363420,2.281852,6.762471,3.281852,7.762471,-10.8000,-9.9100
0.327649,2.579298,7.128305,3.579298,8.128305,-10.8900,-9.9800
0.305780,2.795765,6.943282,3.795765,7.943282,-10.9500,-10.0500
0.278875,3.109047,7.511380,4.109047,8.511380,-11.0300,-10.1000
0.254337,3.452965,8.120108,4.452965,9.120108,-11.1100,-10.1500
0.242890,3.637313,8.332543,4.637313,9.332543,-11.1500,-10.1800
0.237361,3.732753,8.120108,4.732753,9.120108,-11.1700,-10.2100
0.224083,3.981285,8.772372,4.981285,9.772372,-11.2200,-10.2300
0.376192,2.189494,0.995262,3.189494,1.995262,-10.7700,-10.4700
0.367629,2.250703,1.238721,3.250703,2.238721,-10.7900,-10.4400
0.367629,2.250703,1.290868,3.250703,2.290868,-10.7900,-10.4300
0.367629,2.250703,1.570396,3.250703,2.570396,-10.7900,-10.3800
0.371886,2.219918,1.754229,3.219918,2.754229,-10.7800,-10.3400
0.380548,2.159426,1.511886,3.159426,2.511886,-10.7600,-10.3600
0.367629,2.250703,1.630268,3.250703,2.630268,-10.7900,-10.3700
0.351083,2.377529,1.754229,3.377529,2.754229,-10.8300,-10.3900
0.431926,1.851094,2.019952,2.851094,3.019952,-10.6500,-10.1700
0.355148,2.345261,2.311311,3.345261,3.311311,-10.8200,-10.3000
0.312903,2.721914,2.467369,3.721914,3.467369,-10.9300,-10.3900
0.272527,3.192045,3.073803,4.192045,4.073803,-11.0500,-10.4400
0.251426,3.498251,3.168694,4.498251,4.168694,-11.1200,-10.5000
0.245702,3.590419,2.890451,4.590419,3.890451,-11.1400,-10.5500
0.436927,1.825005,1.818383,2.825005,2.818383,-10.6400,-10.1900
0.389412,2.100343,3.168694,3.100343,4.168694,-10.7400,-10.1200
0.407764,1.986283,0.905461,2.986283,1.905461,-10.7000,-10.4200
0.447105,1.773747,1.398833,2.773747,2.398833,-10.6200,-10.2400
0.426982,1.877494,2.467369,2.877494,3.467369,-10.6600,-10.1200
0.417263,1.931244,2.162278,2.931244,3.162278,-10.6800,-10.1800
0.393921,2.071321,2.019952,3.071321,3.019952,-10.7300,-10.2500
0.371886,2.219918,1.951209,3.219918,2.951209,-10.7800,-10.3100
0.339164,2.476638,2.162278,3.476638,3.162278,-10.8600,-10.3600
0.335281,2.510458,2.019952,3.510458,3.019952,-10.8700,-10.3900
0.323899,2.614328,2.019952,3.614328,3.019952,-10.9000,-10.4200
0.312903,2.721914,2.019952,3.721914,3.019952,-10.9300,-10.4500
0.309321,2.758623,1.951209,3.758623,2.951209,-10.9400,-10.4700
0.298820,2.871363,0.949845,3.871363,1.949845,-10.9700,-10.6800
0.251426,3.498251,1.344229,4.498251,2.344229,-11.1200,-10.7500
0.226678,3.930418,1.511886,4.930418,2.511886,-11.2100,-10.8100
0.195168,4.640035,2.162278,5.640035,3.162278,-11.3400,-10.8400
0.190726,4.759014,1.951209,5.759014,2.951209,-11.3600,-10.8900
0.188543,4.819545,1.818383,5.819545,2.818383,-11.3700,-10.9200
0.186384,4.880781,1.818383,5.880781,2.818383,-11.3800,-10.9300
0.199714,4.523782,1.238721,5.523782,2.238721,-11.3200,-10.9700
0.192934,4.699180,1.137962,5.699180,2.137962,-11.3500,-11.0200
0.177996,5.132940,1.290868,6.132940,2.290868,-11.4200,-11.0600
0.171953,5.329870,1.238721,6.329870,2.238721,-11.4500,-11.1000
0.148050,6.266793,1.754229,7.266793,2.754229,-11.5800,-11.1400
0.327649,2.579298,0.819701,3.579298,1.819701,-10.8900,-10.6300
0.312903,2.721914,1.089296,3.721914,2.089296,-10.9300,-10.6100
0.302280,2.833343,1.398833,3.833343,2.398833,-10.9600,-10.5800
0.288675,2.988125,1.570396,3.988125,2.570396,-11.0000,-10.5900
0.272527,3.192045,1.754229,4.192045,2.754229,-11.0500,-10.6100
0.260261,3.363958,1.818383,4.363958,2.818383,-11.0900,-10.6400
0.245702,3.590419,2.090295,4.590419,3.090295,-11.1400,-10.6500
0.234644,3.781312,2.388442,4.781312,3.388442,-11.1800,-10.6500
0.226678,3.930418,2.630781,4.930418,3.630781,-11.2100,-10.6500
0.452282,1.748572,2.890451,2.748572,3.890451,-10.6100,-10.0200
0.380548,2.159426,3.570882,3.159426,4.570882,-10.7600,-10.1000
0.335281,2.510458,3.786301,3.510458,4.786301,-10.8700,-10.1900
0.316526,2.685631,4.011872,3.685631,5.011872,-10.9200,-10.2200
0.292018,2.948749,4.128614,3.948749,5.128614,-10.9900,-10.2800
0.288675,2.988125,3.786301,3.988125,4.786301,-11.0000,-10.3200
0.288675,2.988125,3.677351,3.988125,4.677351,-11.0000,-10.3300
0.272527,3.192045,3.897788,4.192045,4.897788,-11.0500,-10.3600
0.260261,3.363958,4.011872,4.363958,5.011872,-11.0900,-10.3900
0.260261,3.363958,3.897788,4.363958,4.897788,-11.0900,-10.4000
0.254337,3.452965,3.466836,4.452965,4.466836,-11.1100,-10.4600
0.242890,3.637313,3.365158,4.637313,4.365158,-11.1500,-10.5100
0.234644,3.781312,3.466836,4.781312,4.466836,-11.1800,-10.5300
0.224083,3.981285,3.466836,4.981285,4.466836,-11.2200,-10.5700
0.213998,4.190764,3.677351,5.190764,4.677351,-11.2600,-10.5900
0.376192,2.189494,2.981072,3.189494,3.981072,-10.7700,-10.1700
0.343091,2.443213,2.890451,3.443213,3.890451,-10.8500,-10.2600
0.327649,2.579298,2.548134,3.579298,3.548134,-10.8900,-10.3400
0.312903,2.721914,2.388442,3.721914,3.388442,-10.9300,-10.4000
0.298820,2.871363,2.311311,3.871363,3.311311,-10.9700,-10.4500
0.285371,3.027963,2.235937,4.027963,3.235937,-11.0100,-10.5000
0.263275,3.320226,2.235937,4.320226,3.235937,-11.0800,-10.5700
0.231958,3.830438,2.715352,4.830438,3.715352,-11.1900,-10.6200
0.218982,4.084809,2.981072,5.084809,3.981072,-11.2400,-10.6400
0.441987,1.799223,1.570396,2.799223,2.570396,-10.6300,-10.2200
0.398483,2.042639,1.818383,3.042639,2.818383,-10.7200,-10.2700
0.367629,2.250703,1.818383,3.250703,2.818383,-10.7900,-10.3400
0.347064,2.410178,1.884032,3.410178,2.884032,-10.8400,-10.3800
0.495917,1.557623,1.187762,2.557623,2.187762,-10.5300,-10.1900
0.426982,1.877494,1.884032,2.877494,2.884032,-10.6600,-10.2000
0.389412,2.100343,2.630781,3.100343,3.630781,-10.7400,-10.1800
0.371886,2.219918,2.890451,3.219918,3.890451,-10.7800,-10.1900
0.351083,2.377529,2.981072,3.377529,3.981072,-10.8300,-10.2300
0.331443,2.544676,2.981072,3.544676,3.981072,-10.8800,-10.2800
0.320191,2.649771,2.890451,3.649771,3.890451,-10.9100,-10.3200
0.305780,2.795765,2.890451,3.795765,3.890451,-10.9500,-10.3600
0.292018,2.948749,2.981072,3.948749,3.981072,-10.9900,-10.3900
0.285371,3.027963,3.168694,4.027963,4.168694,-11.0100,-10.3900
0.285371,3.027963,2.890451,4.027963,3.890451,-11.0100,-10.4200
0.272527,3.192045,1.344229,4.192045,2.344229,-11.0500,-10.6800
0.245702,3.590419,3.073803,4.590419,4.073803,-11.1400,-10.5300
0.234644,3.781312,3.786301,4.781312,4.786301,-11.1800,-10.5000
0.216476,4.137479,3.365158,5.137479,4.365158,-11.2500,-10.6100
0.199714,4.523782,4.370318,5.523782,5.370318,-11.3200,-10.5900
6.462631,0.001563,0.023293,1.001563,1.023293,-8.3000,-8.2900
5.826522,0.002957,0.023293,1.002957,1.023293,-8.3900,-8.3800
5.313851,0.004947,0.000000,1.004947,1.000000,-8.4700,-8.4700
4.846290,0.007920,-0.022763,1.007920,0.977237,-8.5500,-8.5600
4.522821,0.010978,-0.045007,1.010978,0.954993,-8.6100,-8.6300
4.269818,0.014183,-0.045007,1.014183,0.954993,-8.6600,-8.6800
4.030968,0.018078,-0.045007,1.018078,0.954993,-8.7100,-8.7300
3.805479,0.022755,-0.045007,1.022755,0.954993,-8.7600,-8.7800
3.634205,0.027121,-0.045007,1.027121,0.954993,-8.8000,-8.8200
3.470638,0.032095,-0.045007,1.032095,0.954993,-8.8400,-8.8600
3.314434,0.037726,-0.108749,1.037726,0.891251,-8.8800,-8.9300
3.057802,0.049308,-0.205672,1.049308,0.794328,-8.9500,-9.0500
2.920178,0.056998,-0.241422,1.056998,0.758578,-8.9900,-9.1100
2.821041,0.063314,-0.258690,1.063314,0.741310,-9.0200,-9.1500
2.725269,0.070124,-0.258690,1.070124,0.741310,-9.0500,-9.1800
2.115482,0.137107,0.023293,1.137107,1.023293,-9.2700,-9.2600
1.800567,0.197899,0.230269,1.197899,1.230269,-9.4100,-9.3200
1.759581,0.207900,0.258925,1.207900,1.258925,-9.4300,-9.3300
1.661152,0.234446,0.318257,1.234446,1.318257,-9.4800,-9.3600
1.623340,0.245701,0.348963,1.245701,1.348963,-9.5000,-9.3700
1.586388,0.257330,0.380384,1.257330,1.380384,-9.5200,-9.3800
1.550277,0.269340,0.412538,1.269340,1.412538,-9.5400,-9.3900
1.514989,0.281740,0.445440,1.281740,1.445440,-9.5600,-9.4000
1.497647,0.288089,0.412538,1.288089,1.412538,-9.5700,-9.4200
1.381686,0.335389,0.513561,1.335389,1.513561,-9.6400,-9.4600
1.334779,0.357250,0.513561,1.357250,1.513561,-9.6700,-9.4900
1.304396,0.372375,0.548817,1.372375,1.548817,-9.6900,-9.5000
1.289464,0.380107,0.548817,1.380107,1.548817,-9.7000,-9.5100
1.274704,0.387951,0.548817,1.387951,1.548817,-9.7100,-9.5200
1.245688,0.403987,0.584893,1.403987,1.584893,-9.7300,-9.5300
1.231429,0.412180,0.584893,1.412180,1.584893,-9.7400,-9.5400
1.203398,0.428923,0.621810,1.428923,1.621810,-9.7600,-9.5500
1.162544,0.454947,0.659587,1.454947,1.659587,-9.7900,-9.5700
1.110221,0.491394,0.778279,1.491394,1.778279,-9.8300,-9.5800
1.097512,0.500826,0.778279,1.500826,1.778279,-9.8400,-9.5900
1.084949,0.510389,0.819701,1.510389,1.819701,-9.8500,-9.5900
1.072530,0.520085,0.819701,1.520085,1.819701,-9.8600,-9.6000
1.072530,0.520085,0.862087,1.520085,1.862087,-9.8600,-9.5900
1.060253,0.529914,0.862087,1.529914,1.862087,-9.8700,-9.6000
1.048116,0.539877,0.905461,1.539877,1.905461,-9.8800,-9.6000
1.036118,0.549977,0.905461,1.549977,1.905461,-9.8900,-9.6100
0.955893,0.624612,1.187762,1.624612,2.187762,-9.9600,-9.6200
0.892091,0.694335,1.398833,1.694335,2.398833,-10.0200,-9.6400
0.881880,0.706496,1.454709,1.706496,2.454709,-10.0300,-9.6400
0.861806,0.731298,1.511886,1.731298,2.511886,-10.0500,-9.6500
0.785976,0.837137,1.691535,1.837137,2.691535,-10.1300,-9.7000
0.716819,0.954282,1.818383,1.954282,2.818383,-10.2100,-9.7600
0.661317,1.066847,1.818383,2.066847,2.818383,-10.2800,-9.8300
0.624323,1.153427,1.691535,2.153427,2.691535,-10.3300,-9.9000
0.582652,1.264572,1.754229,2.264572,2.754229,-10.3900,-9.9500
0.543763,1.384129,1.884032,2.384129,2.884032,-10.4500,-9.9900
0.513345,1.490600,2.019952,2.490600,3.019952,-10.5000,-10.0200
0.484629,1.603663,2.311311,2.603663,3.311311,-10.5500,-10.0300
0.462817,1.699112,2.548134,2.699112,3.548134,-10.5900,-10.0400
0.441987,1.799223,2.890451,2.799223,3.890451,-10.6300,-10.0400
0.422094,1.904210,3.168694,2.904210,4.168694,-10.6700,-10.0500
0.403097,2.014294,3.570882,3.014294,4.570882,-10.7100,-10.0500
0.389412,2.100343,3.677351,3.100343,4.677351,-10.7400,-10.0700
0.376192,2.189494,3.897788,3.189494,4.897788,-10.7700,-10.0800
0.363420,2.281852,4.128614,3.281852,5.128614,-10.8000,-10.0900
0.351083,2.377529,4.248075,3.377529,5.248075,-10.8300,-10.1100
0.339164,2.476638,4.495409,3.476638,5.495409,-10.8600,-10.1200
0.327649,2.579298,4.754399,3.579298,5.754399,-10.8900,-10.1300
0.309321,2.758623,4.888437,3.758623,5.888437,-10.9400,-10.1700
0.295399,2.909830,5.025596,3.909830,6.025596,-10.9800,-10.2000
0.278875,3.109047,5.606934,4.109047,6.606934,-11.0300,-10.2100
0.266323,3.277000,6.079458,4.277000,7.079458,-11.0700,-10.2200
0.242890,3.637313,6.943282,4.637313,7.943282,-11.1500,-10.2500
2.514255,0.088048,0.096478,1.088048,1.096478,-9.1200,-9.0800
2.346440,0.105839,0.122018,1.105839,1.122018,-9.1800,-9.1300
2.215182,0.122503,0.148154,1.122503,1.148154,-9.2300,-9.1700
1.304396,0.372375,0.819701,1.372375,1.819701,-9.6900,-9.4300
1.274704,0.387951,0.819701,1.387951,1.819701,-9.7100,-9.4500
1.245688,0.403987,0.862087,1.403987,1.862087,-9.7300,-9.4600
1.217333,0.420492,0.905461,1.420492,1.905461,-9.7500,-9.4700
1.217333,0.420492,0.905461,1.420492,1.905461,-9.7500,-9.4700
1.203398,0.428923,0.905461,1.428923,1.905461,-9.7600,-9.4800
1.189623,0.437475,0.905461,1.437475,1.905461,-9.7700,-9.4900
1.176006,0.446150,0.905461,1.446150,1.905461,-9.7800,-9.5000
1.162544,0.454947,0.905461,1.454947,1.905461,-9.7900,-9.5100
1.149236,0.463869,0.862087,1.463869,1.862087,-9.8000,-9.5300
1.136081,0.472916,0.905461,1.472916,1.905461,-9.8100,-9.5300
1.123077,0.482091,0.905461,1.482091,1.905461,-9.8200,-9.5400
1.110221,0.491394,0.862087,1.491394,1.862087,-9.8300,-9.5600
1.084949,0.510389,0.905461,1.510389,1.905461,-9.8500,-9.5700
1.072530,0.520085,0.905461,1.520085,1.905461,-9.8600,-9.5800
1.048116,0.539877,0.949845,1.539877,1.949845,-9.8800,-9.5900
1.036118,0.549977,0.949845,1.549977,1.949845,-9.8900,-9.6000
1.000943,0.581109,0.995262,1.581109,1.995262,-9.9200,-9.6200
0.989485,0.591769,0.995262,1.591769,1.995262,-9.9300,-9.6300
0.966962,0.613519,1.041738,1.613519,2.041738,-9.9500,-9.6400
0.944951,0.635854,1.041738,1.635854,2.041738,-9.9700,-9.6600
0.944951,0.635854,1.041738,1.635854,2.041738,-9.9700,-9.6600
0.804284,0.809654,1.398833,1.809654,2.398833,-10.1100,-9.7300
0.661317,1.066847,1.951209,2.066847,2.951209,-10.2800,-9.8100
0.603128,1.207982,2.235937,2.207982,3.235937,-10.3600,-9.8500
0.596224,1.226616,2.235937,2.226616,3.235937,-10.3700,-9.8600
0.589399,1.245478,2.311311,2.245478,3.311311,-10.3800,-9.8600
0.569389,1.303462,2.388442,2.303462,3.388442,-10.4100,-9.8800
0.501660,1.535013,2.715352,2.535013,3.715352,-10.5200,-9.9500
0.441987,1.799223,3.168694,2.799223,4.168694,-10.6300,-10.0100
0.393921,2.071321,3.570882,3.071321,4.570882,-10.7300,-10.0700
0.359260,2.313370,4.011872,3.313370,5.011872,-10.8100,-10.1100
0.327649,2.579298,4.495409,3.579298,5.495409,-10.8900,-10.1500
0.298820,2.871363,4.888437,3.871363,5.888437,-10.9700,-10.2000
0.272527,3.192045,5.165950,4.192045,6.165950,-11.0500,-10.2600
0.251426,3.498251,5.606934,4.498251,6.606934,-11.1200,-10.3000
0.234644,3.781312,6.413102,4.781312,7.413102,-11.1800,-10.3100
0.221518,4.032747,6.244360,5.032747,7.244360,-11.2300,-10.3700
0.096696,9.849726,32.884416,10.849726,33.884416,-11.9500,-10.4200
0.135024,6.917366,17.620871,7.917366,18.620871,-11.6600,-10.3900
0.175958,5.197825,11.022644,6.197825,12.022644,-11.4300,-10.3500
0.175958,5.197825,11.022644,6.197825,12.022644,-11.4300,-10.3500
0.190726,4.759014,8.332543,5.759014,9.332543,-11.3600,-10.3900
0.186384,4.880781,7.912509,5.880781,8.912509,-11.3800,-10.4300
0.188543,4.819545,6.943282,5.819545,7.943282,-11.3700,-10.4700
0.173944,5.263466,7.317638,6.263466,8.317638,-11.4400,-10.5200
1.907258,0.174380,-0.129036,1.174380,0.870964,-9.3600,-9.4200
0.861806,0.731298,0.174898,1.731298,1.174898,-10.0500,-9.9800
0.759293,0.879689,0.258925,1.879689,1.258925,-10.1600,-10.0600
0.716819,0.954282,0.318257,1.954282,1.318257,-10.2100,-10.0900
0.684557,1.017405,0.348963,2.017405,1.348963,-10.2500,-10.1200
0.661317,1.066847,0.348963,2.066847,1.348963,-10.2800,-10.1500
0.295399,2.909830,2.548134,3.909830,3.548134,-10.9800,-10.4300
0.282104,3.068268,2.801894,4.068268,3.801894,-11.0200,-10.4400
0.240110,3.684756,3.168694,4.684756,4.168694,-11.1600,-10.5400
0.192934,4.699180,3.677351,5.699180,4.677351,-11.3500,-10.6800
0.282104,3.068268,6.244360,4.068268,7.244360,-11.0200,-10.1600
0.254337,3.452965,6.244360,4.452965,7.244360,-11.1100,-10.2500
0.254337,3.452965,5.456542,4.452965,6.456542,-11.1100,-10.3000
0.248547,3.544067,5.165950,4.544067,6.165950,-11.1300,-10.3400
0.224083,3.981285,6.244360,4.981285,7.244360,-11.2200,-10.3600
0.221518,4.032747,6.244360,5.032747,7.244360,-11.2300,-10.3700
0.226678,3.930418,5.606934,4.930418,6.606934,-11.2100,-10.3900
0.224083,3.981285,5.025596,4.981285,6.025596,-11.2200,-10.4400
0.226678,3.930418,4.370318,4.930418,5.370318,-11.2100,-10.4800
0.226678,3.930418,4.128614,4.930418,5.128614,-11.2100,-10.5000
0.229303,3.880137,3.570882,4.880137,4.570882,-11.2000,-10.5400
0.218982,4.084809,3.897788,5.084809,4.897788,-11.2400,-10.5500
0.199714,4.523782,4.370318,5.523782,5.370318,-11.3200,-10.5900
0.192934,4.699180,4.248075,5.699180,5.248075,-11.3500,-10.6300
0.282104,3.068268,3.786301,4.068268,4.786301,-11.0200,-10.3400
0.288675,2.988125,3.466836,3.988125,4.466836,-11.0000,-10.3500
0.278875,3.109047,3.786301,4.109047,4.786301,-11.0300,-10.3500
0.269407,3.234275,3.897788,4.234275,4.897788,-11.0600,-10.3700
0.257282,3.408202,3.677351,4.408202,4.677351,-11.1000,-10.4300
0.242890,3.637313,3.786301,4.637313,4.786301,-11.1500,-10.4700
0.226678,3.930418,4.128614,4.930418,5.128614,-11.2100,-10.5000
0.473597,1.650817,0.659587,2.650817,1.659587,-10.5700,-10.3500
0.431926,1.851094,1.951209,2.851094,2.951209,-10.6500,-10.1800
0.452282,1.748572,2.235937,2.748572,3.235937,-10.6100,-10.1000
0.490241,1.580505,2.162278,2.580505,3.162278,-10.5400,-10.0400
0.473597,1.650817,2.467369,2.650817,3.467369,-10.5700,-10.0300
0.441987,1.799223,3.073803,2.799223,4.073803,-10.6300,-10.0200
0.431926,1.851094,3.168694,2.851094,4.168694,-10.6500,-10.0300
0.412486,1.958601,3.168694,2.958601,4.168694,-10.6900,-10.0700
0.376192,2.189494,3.570882,3.189494,4.570882,-10.7700,-10.1100
0.339164,2.476638,4.011872,3.476638,5.011872,-10.8600,-10.1600
0.312903,2.721914,4.370318,3.721914,5.370318,-10.9300,-10.2000
0.285371,3.027963,4.754399,4.027963,5.754399,-11.0100,-10.2500
0.257282,3.408202,5.309573,4.408202,6.309573,-11.1000,-10.3000
0.242890,3.637313,5.165950,4.637313,6.165950,-11.1500,-10.3600
0.237361,3.732753,4.888437,4.732753,5.888437,-11.1700,-10.4000
0.164214,5.603304,4.623413,6.603304,5.623413,-11.4900,-10.7400
0.153253,6.037918,4.888437,7.037918,5.888437,-11.5500,-10.7800
0.153253,6.037918,4.370318,7.037918,5.370318,-11.5500,-10.8200
0.153253,6.037918,4.128614,7.037918,5.128614,-11.5500,-10.8400
0.202027,4.466658,3.073803,5.466658,4.073803,-11.3100,-10.7000
0.221518,4.032747,2.630781,5.032747,3.630781,-11.2300,-10.6700
0.237361,3.732753,2.090295,4.732753,3.090295,-11.1700,-10.6800
0.240110,3.684756,2.235937,4.684756,3.235937,-11.1600,-10.6500
0.234644,3.781312,2.311311,4.781312,3.311311,-11.1800,-10.6600
0.128946,7.265900,19.892961,8.265900,20.892961,-11.7000,-10.3800
0.182142,5.005401,9.964782,6.005401,10.964782,-11.4000,-10.3600
0.195168,4.640035,10.220185,5.640035,11.220185,-11.3400,-10.2900
0.206733,4.354377,9.232930,5.354377,10.232930,-11.2900,-10.2800
0.218982,4.084809,6.943282,5.084809,7.943282,-11.2400,-10.3400
0.224083,3.981285,6.244360,4.981285,7.244360,-11.2200,-10.3600
0.221518,4.032747,5.760830,5.032747,6.760830,-11.2300,-10.4000
0.213998,4.190764,5.025596,5.190764,6.025596,-11.2600,-10.4800
0.197428,4.581572,4.370318,5.581572,5.370318,-11.3300,-10.6000
0.182142,5.005401,4.623413,6.005401,5.623413,-11.4000,-10.6500
0.171953,5.329870,3.677351,6.329870,4.677351,-11.4500,-10.7800
0.190726,4.759014,3.265795,5.759014,4.265795,-11.3600,-10.7300
0.716819,0.954282,1.630268,1.954282,2.630268,-10.2100,-9.7900
0.661317,1.066847,2.019952,2.066847,3.019952,-10.2800,-9.8000
0.596224,1.226616,1.951209,2.226616,2.951209,-10.3700,-9.9000
0.543763,1.384129,2.311311,2.384129,3.311311,-10.4500,-9.9300
0.513345,1.490600,2.981072,2.490600,3.981072,-10.5000,-9.9000
0.479081,1.627099,4.128614,2.627099,5.128614,-10.5600,-9.8500
0.457519,1.723695,4.623413,2.723695,5.623413,-10.6000,-9.8500
0.407764,1.986283,4.888437,2.986283,5.888437,-10.7000,-9.9300
0.367629,2.250703,5.606934,3.250703,6.606934,-10.7900,-9.9700
0.327649,2.579298,6.585776,3.579298,7.585776,-10.8900,-10.0100
0.288675,2.988125,7.128305,3.988125,8.128305,-11.0000,-10.0900
0.263275,3.320226,6.762471,4.320226,7.762471,-11.0800,-10.1900
0.237361,3.732753,7.128305,4.732753,8.128305,-11.1700,-10.2600
0.218982,4.084809,7.511380,5.084809,8.511380,-11.2400,-10.3100
0.209127,4.299206,7.317638,5.299206,8.317638,-11.2800,-10.3600
0.206733,4.354377,6.762471,5.354377,7.762471,-11.2900,-10.4000
0.202027,4.466658,6.585776,5.466658,7.585776,-11.3100,-10.4300
0.192934,4.699180,6.585776,5.699180,7.585776,-11.3500,-10.4700
0.184251,4.942730,6.943282,5.942730,7.943282,-11.3900,-10.4900
0.175958,5.197825,7.128305,6.197825,8.128305,-11.4300,-10.5200
0.237361,3.732753,4.623413,4.732753,5.623413,-11.1700,-10.4200
0.206733,4.354377,5.165950,5.354377,6.165950,-11.2900,-10.5000
0.188543,4.819545,5.456542,5.819545,6.456542,-11.3700,-10.5600
0.180057,5.068802,5.606934,6.068802,6.606934,-11.4100,-10.5900
0.175958,5.197825,5.606934,6.197825,6.606934,-11.4300,-10.6100
0.175958,5.197825,5.165950,6.197825,6.165950,-11.4300,-10.6400
0.173944,5.263466,4.888437,6.263466,5.888437,-11.4400,-10.6700
0.169985,5.397047,4.370318,6.397047,5.370318,-11.4600,-10.7300
0.160476,5.744839,4.370318,6.744839,5.370318,-11.5100,-10.7800
0.149765,6.189618,4.623413,7.189618,5.623413,-11.5700,-10.8200
0.138169,6.749044,5.309573,7.749044,6.309573,-11.6400,-10.8400
0.327649,2.579298,1.187762,3.579298,2.187762,-10.8900,-10.5500
0.323899,2.614328,1.630268,3.614328,2.630268,-10.9000,-10.4800
0.309321,2.758623,1.754229,3.758623,2.754229,-10.9400,-10.5000
0.288675,2.988125,2.090295,3.988125,3.090295,-11.0000,-10.5100
0.272527,3.192045,2.311311,4.192045,3.311311,-11.0500,-10.5300
6.101117,0.002245,0.584893,1.002245,1.584893,-8.3500,-8.1500
5.693894,0.003378,0.202264,1.003378,1.202264,-8.4100,-8.3300
5.192893,0.005587,0.096478,1.005587,1.096478,-8.4900,-8.4500
4.790815,0.008375,0.047129,1.008375,1.047129,-8.5600,-8.5400
4.419869,0.012182,0.023293,1.012182,1.023293,-8.6300,-8.6200
4.124862,0.016431,0.000000,1.016431,1.000000,-8.6900,-8.6900
3.894120,0.020784,0.000000,1.020784,1.000000,-8.7400,-8.7400
3.676287,0.025974,0.000000,1.025974,1.000000,-8.7900,-8.7900
3.470638,0.032095,0.023293,1.032095,1.023293,-8.8400,-8.8300
3.314434,0.037726,0.023293,1.037726,1.023293,-8.8800,-8.8700
3.165260,0.044063,0.047129,1.044063,1.047129,-8.9200,-8.9000
3.022800,0.051154,0.047129,1.051154,1.047129,-8.9600,-8.9400
2.920178,0.056998,0.047129,1.056998,1.047129,-8.9900,-8.9700
2.788749,0.065528,0.096478,1.065528,1.096478,-9.0300,-8.9900
2.694073,0.072507,0.096478,1.072507,1.096478,-9.0600,-9.0200
2.602612,0.080007,0.096478,1.080007,1.096478,-9.0900,-9.0500
2.543369,0.085306,0.096478,1.085306,1.096478,-9.1100,-9.0700
2.485475,0.090853,0.096478,1.090853,1.096478,-9.1300,-9.0900
2.428899,0.096652,0.096478,1.096652,1.096478,-9.1500,-9.1100
